ability_slot,ability_name,ability_text,character_id
ultimate,Ability 3,"Symbiote Cyclone  If this character does not have Trauma, transfer all negative effects from each ally to self, then flip all negative effects on self.
Copy 3 random positive effects, excluding Stealth and Taunt, from self to each ally.

Heal self for 15% of this character's Max Health.

Attack primary and adjacent targets for 350% Piercing + apply +1 Darkness.

The first time this ability is used in a match, Summon 1 Carnage (Enraged) ally. The summoned Carnage (Enraged) ally gains Safeguard for 2 turns and Defense Up for 2 turns.

This attack is Unavoidable and cannot be blocked. Level Required: 68  t4 confidence 80.7%",Knull
passive,Ability 4,"Oblivion Calls  Attack all enemies for 320% Piercing + apply Slow for 2 turns, Trauma for 2 turns, and +1 Darkness to each target.

If this character does not have Exhausted, clear all Battlefield Effects on the enemy side and apply the Battlefield Effect, Enveloping Darkness, to the enemy side.

This attack is Unavoidable and cannot be counterattacked.

Enveloping Darkness:
 > On enemy Turn, apply +1 Darkness to that enemy + flip Immunity on that enemy.
 > On enemy Turn End, apply +1 Slow, up to a maximum of 3 to that enemy.
 > This Battlefield Effect lasts until cleared or until the end of the match. Level Required: 70  t4 confidence 81.8%",Knull
basic,Ability 1,A relentless tracker who uses cybernetic enhancements to mark and disable his targets.,Korath
special,Ability 2,Smart-linked Rifle  Attack primary target for 190% damage + 40% Piercing. Apply Slow for 1 turn. Level Required: 65  t4 confidence 11.8%,Korath
ultimate,Ability 3,"Target Lock  Attack primary target for 260% damage. Apply Taunt to target for 1 turn. Gain an Assist from an ally (greater assist chance from MERCENARY and KREE allies).

Gain +750% Extra Focus for this attack. Level Required: 68  t4 confidence 5.1%",Korath
passive,Ability 4,Takedown Shot  Attack primary target for 570% damage + apply Heal Block for 2 turns. 50% chance to apply Ability Block. Level Required: 70  t4 confidence 6.4%,Korath
basic,Ability 1,"A rock-steady friend of Thor's, Korg bolsters his Knowhere allies' defenses and calls on them for devastating assists.",Korg
special,Ability 2,"Let's Rock  Attack primary target for 360% damage + apply Slow for 2 turns.

Gain +2 Deflect, up to a maximum of 5. Level Required: 65  t4 confidence 21.5%",Korg
ultimate,Ability 3,"Sakaaran Blast  Attack primary and adjacent targets for 420% damage + apply Slow for 2 turns. If Nova is an ally, or with 2 or more KNOWHERE allies, this attack does an additional 200% Piercing to each target.

Apply Offense Up for 2 turns to self and all KNOWHERE allies.
Apply +1 Deflect, up to a maximum of 5, to self and all KNOWHERE allies.

In WAR:
 > Reduce Speed Bar by 20% on primary and adjacent targets.
 > This attack is Unavoidable. Level Required: 68  t4 confidence 31.9%",Korg
passive,Ability 4,"Rock Breaks Scissors  Clear all positive effects from the primary target.
Attack primary target for 550% damage.
Call the 2 KNOWHERE allies with the highest Damage to attack the primary target. These allies gains +30% Damage for this attack.

Apply Defense Up for 2 turns to self and all KNOWHERE allies.

In WAR:
 > Reduce Speed Bar by 30% on the primary target.
 > This ability gains +100% Extra Focus. Level Required: 70  t4 confidence 30.5%",Korg
basic,Ability 1,"A relentlessly dedicated hunter, Kraven hunts only the most dangerous game, tearing through his enemies and breaking their will to fight.",KravenTheHunter
special,Ability 2,"Knife Work  Attack primary target for 300% damage.
Chain to 1 adjacent target for 300% damage.
Apply Offense Down to each target.

Gain Counter. Level Required: 65  t4 confidence 36.3%",KravenTheHunter
ultimate,Ability 3,"Can't Run, Can't Hide  Attack primary target for 340% damage + flip Immunity + apply Ability Block.
Chain to 4 adjacent targets for 340% damage.
Apply Offense Down for 2 turns to each target + flip 2 random positives effect to negative effects on each target. Clear Charged.

In CRUCIBLE:
 > Instead, attack all enemies for 340% damage.
 > Apply Ability Block to all CONTROLLER enemies.
> This attack gains +70% Extra Crit Chance against SUPPORT enemies.

This attack cannot be dodged or counterattacked. Level Required: 68  t4 confidence 45.2%",KravenTheHunter
passive,Ability 4,"Big Game Hunter  Attack all enemies for 350% damage + apply 2 Bleed, Offense Down, and Slow.
Flip all Deathproof on each target.
Flip Stealth on each target.
Clear Charged.

If a target has Offense Down:
 > Apply 2 additional Bleed to that target.
 > Apply Slow for 2 turns to that target.

Characters killed by this attack cannot be revived. Level Required: 70  t4 confidence 43.9%",KravenTheHunter
basic,Ability 1,A vicious hunter who doesn't give her prey a chance to recover.,KreeDmg_Speed
special,Ability 2,Predatory Strike  Attack primary target for 270% damage + apply Bleed. Level Required: 65  t4 confidence 10.3%,KreeDmg_Speed
ultimate,Ability 3,Ferocious Pursuit  Attack primary target for 540% damage + apply Heal Block for 2 turns. Level Required: 68  t4 confidence 3.8%,KreeDmg_Speed
passive,Ability 4,"Hunter-Killer  On Crit, heal self for 15% of Max Health and generate 1 Ability Energy for 1-2 random KREE allies.

Gain +15% Crit Chance.
Gain +5% Crit Chance per KREE MINION ally. Level Required: 64  t4 confidence 9.0%",KreeDmg_Speed
basic,Ability 1,The elite classes of Kree society order others to vanquish their enemies.,KreeControl_Assist
special,Ability 2,Kree Sidearm  Attack primary target for 270% damage. Clear 1 positive effect from the target and generate 1 Ability Energy for 1-2 allies. Level Required: 65  t4 confidence 10.9%,KreeControl_Assist
ultimate,Ability 3,"Imperial Decree  Apply Assist Now to an adjacent ally. If that ally is KREE, they also gain Offense Up. Attack primary target for 530% damage. Level Required: 68  t4 confidence 3.6%",KreeControl_Assist
passive,Ability 4,"Loyalist  On Turn, clear 1 negative effect from 2 allies with negative effects. If those allies are KREE, remove an additional negative effect. Level Required: 64  t4 confidence 10.4%",KreeControl_Assist
basic,Ability 1,A purifier who utilizes Kree technology to regenerate and cleanse his allies.,KreeSupport_HoT
special,Ability 2,Kree Energy Pistol  Attack primary target for 270% damage. Generate 1 Ability Energy to 1 random ally. Level Required: 65  t4 confidence 9.9%,KreeSupport_HoT
ultimate,Ability 3,Nanomachine Cloud  Apply Regeneration to all allies for 2 turns. Apply an additional Regeneration to Ronan and KREE MINION allies. Level Required: 68  t4 confidence 4.9%,KreeSupport_HoT
passive,Ability 4,"Zeal  Whenever this character or an ally gains energy, heal them for 2,000 Health + 5% of this character's Max Health.

If that target is Ronan or a KREE MINION, heal them for 4,000 Health + 10% of this character's Max Health. Level Required: 64  t4 confidence 11.9%",KreeSupport_HoT
basic,Ability 1,"An elite warrior armed with cybernetics that enhance speed, and strength.",KreeDmg_Offense
special,Ability 2,"Energy Blaster  Attack primary target for 270% damage.

On Kill, Chain to 1 adjacent target for 270% damage and grant 1 Ability Energy to 2 random allies. Level Required: 65  t4 confidence 10.8%",KreeDmg_Offense
ultimate,Ability 3,Auto Targeter  Attack primary target for 360% damage + Bonus Attack for 260% damage. Level Required: 68  t4 confidence 4.7%,KreeDmg_Offense
passive,Ability 4,"Integrated Systems  On Enemy Taunt, gain Offense Up for 2 turns and apply Offense Up to a KREE ally for 2 turns.

Gain +5% Speed per KREE ally.

On Turn, copy all positive effects from an ally Ultimus to this character. Level Required: 64  t4 confidence 10.3%",KreeDmg_Offense
basic,Ability 1,A heavily armored Kree warrior who intercepts attackers with brutal counterattacks.,KreeTank_Counter
special,Ability 2,Guardian Blaster  Attack primary target for 180% damage. Gain Counter. Level Required: 65  t4 confidence 10.0%,KreeTank_Counter
ultimate,Ability 3,"Call to Glory  Gain Taunt + Defense Up. Apply Defense Up to all KREE allies. Heal self for 1,850 Health + 10% of Max Health.

If Ronan is an ally, heal for an additional 1,850 Health + 10% of Max Health. Level Required: 68  t4 confidence 4.1%",KreeTank_Counter
passive,Ability 4,"Royal Guard Armor  While in Taunt, when attacked, 75% chance to generate 1 Ability Energy for a random KREE ally.

Gain +20% Armor. Gain +5% Armor per KREE ally. Level Required: 64  t4 confidence 10.5%",KreeTank_Counter
basic,Ability 1,"After unintentionally being saved by Bullseye from the Yakuza, Maki Matsumoto saw her destiny. Taking the name, Lady Bullseye, she is the deadliest assassin the Hand has to offer.",LadyBullseye
special,Ability 2,"Mystic Blades  Attack primary target for 300% damage.

On Crit, apply +1 Offense Down, up to a maximum of 3, on the primary target. Level Required: 65  t4 confidence 31.1%",LadyBullseye
ultimate,Ability 3,"Disappearing Trick  Attack primary and adjacent targets for 250% Piercing, flip all positive effects into negative effects, and apply +1 Offense Down, up to a maximum of 3.

On Crit, prolong the duration of all negative effects by +1, up to a max of 3, on primary and secondary targets. Level Required: 68  t4 confidence 41.9%",LadyBullseye
passive,Ability 4,"Fan Dance  Apply Offense Up to self, all IMMORTAL WEAPON, and all THUNDERBOLT allies.

Attack primary and adjacent targets for 350% Piercing.
Clear all Charged on the primary target.

In RAIDS, reduce the duration of all positive effects by 2 for primary and secondary targets.

Apply 1 random negative effect for 2 turns to primary and secondary targets. If this attack Crits, apply Slow for 2 turns, Offense Down for 2 turns, and Defense Down for 2 turns to primary and secondary targets.

This attack gains 500% Extra Focus and cannot be dodged or blocked. Level Required: 70  t4 confidence 44.1%",LadyBullseye
basic,Ability 1,"Lady Deathstrike uses her cybernetics to slice at enemies, applying Bleed and making them susceptible to negative effects that the rest of Weapon X can take advantage of.",LadyDeathstrike
special,Ability 2,"Assist/Counter Info Transfer 1 Deflect from primary target to self.Attack primary target for 241% damage + 17% PiercingIf primary target has Bleed, apply Defense Down.This attack gains 300% Extra Focus.",LadyDeathstrike
ultimate,Ability 3,"Reaver Revenge  Transfer 1 Deflect from primary target to self.
Attack primary target for 250% Piercing.

If primary target has Bleed, repeat this attack + apply Defense Down.

This attack is Unavoidable and gains +300% Extra Focus. Level Required: 65  t4 confidence 54.3%",LadyDeathstrike
passive,Ability 4,"Deadly Weapon  Gain Offense Up for 2 turns.

Attack primary and adjacent targets for 200% Piercing + apply 2 Bleed + reduce Speed Bar by 20%.

Repeat attack using a new primary target randomly chosen from the previous secondary targets. This secondary attack can target Stealth targets.

On Kill, increase the duration of all positive effects on self and all WEAPON X allies by +1, up to a maximum of 5. Level Required: 68  t4 confidence 50.4%",LadyDeathstrike
basic,Ability 1,"Majestrix of the Shi'ar Empire, Empress Lilandra Neramani rules her people fairly, protecting her allies on the space-faring Starjammers so they can defend her Empire from tyranny.",Lilandra
special,Ability 2,"Royal Strike  Attack primary target for 280% damage + apply Offense Down for 2 turns.

If Gladiator is an ally, apply Assist Now to a random Gladiator ally.

If primary target has Barrier, gain +1 Deflect. In CRUCIBLE, instead, apply +1 Deflect to self and all allies. Level Required: 65  t4 confidence 47.2%",Lilandra
ultimate,Ability 3,"Shi'ar Assault  Clear all Barrier on all enemies.
Attack primary target for 330% damage + apply Defense Down for 2 turns and Slow for 2 turns.
Rebound Chain to 4 adjacent targets for 330% damage + apply +1 Offense Down and +1 Heal Block.

Barrier self and all allies for 20% of this character's Max Health.

If Groot is an ally, apply 2 Regeneration for 2 turns and +2 Taunt, up to a maximum of 3 to a random Groot ally.

Counterattack breaks this Chain.
If this character has 3 or more STARJAMMER allies, this attack cannot be counterattacked. Level Required: 68  t4 confidence 46.1%",Lilandra
passive,Ability 4,"Imperial Reign  In CRUCIBLE:
 > Clear all Barrier on all enemies.
 > If this character has 3 or more STARJAMMER allies, reduce the duration of all positive effects by 2 on each enemy. (Any positive effect that has a duration of 0 expires instantly, including Safeguard)

Attack all enemies for 200% damage.
Bonus Attack all enemies 2 times for 200% damage.

In CRUCIBLE, apply Trauma to all enemies on each attack.

On Kill, clear all negative effects on self and all STARJAMMER allies, then apply Immunity for 2 turns and Safeguard for 2 turns to self and all STARJAMMER allies.

This attack is Unavoidable and cannot be blocked or counterattacked. Level Required: 70  t4 confidence 51.1%",Lilandra
basic,Ability 1,The immortal N'Kantu rises from his long incarceration to act as a bulwark against the evil that cursed him.,LivingMummy
special,Ability 2,"Crypt Strike  Attack primary target for 250% damage.

When this character performs an ISO-8 attack, Counterattack, or an Assist:
 > The damage of that attack is Piercing.
 > If this character has Revive Once, gain Counterattack and Speed Up.
 > Heal for 15% of this character's Max Health. Level Required: 65  t4 confidence 37.4%",LivingMummy
ultimate,Ability 3,"Calling the Obelisk  Attack primary and adjacent targets for 400% damage.

Gain 3 Counterattack and 3 Evade.

Clear 5 negative effects from self and all BRIMSTONE allies.
Apply Defense Up and Safeguard to self and all BRIMSTONE allies.
Heal self and all BRIMSTONE allies for 20% of this character's Max Health. Level Required: 68  t4 confidence 51.3%",LivingMummy
passive,Ability 4,"Wrath of Antiquity  Attack primary and adjacent targets for 600% damage.

Gain 3 Evade and Revive Once.

Apply Speed Up to self and all BRIMSTONE allies.
Heal self and all BRIMSTONE allies for 15% of this character's Max Health. Level Required: 70  t4 confidence 54.0%",LivingMummy
basic,Ability 1,"Hoping to create a regenerative serum using reptile DNA, Doctor Curtis Connors accidentally turns himself into the villain, Lizard, and uses his newfound abilities to shed negative Status Effects.",Lizard
special,Ability 2,"Predator's Rage  Attack primary target for 240% Piercing + flip Regeneration + apply Bleed and Heal Block.
Chain to 2 adjacent targets for 120% Piercing + flip Regeneration + apply Bleed and Heal Block. Level Required: 65  t4 confidence 33.8%",Lizard
ultimate,Ability 3,"Tail Whip  Attack primary and adjacent targets for 300% Damage.
Do the following to the primary and adjacent targets:
 > Flip a random positive effect to Slow.
 > Flip another random positive effect to Heal Block.
 > Flip all other positive effects to negative effects.
 > If any target is HERO SPIDER-VERSE or is a SUPPORT, apply Ability Block to that target.

If this character does not have Trauma, transfer all negative effects from SINISTER SIX allies to self and then flip all negative effects on self to positive effects. If negative effects were flipped, heal self for 5% per negative effect flipped.

Gain Taunt.

This attack is Unavoidable. Level Required: 68  t4 confidence 42.0%",Lizard
passive,Ability 4,"Reptilian Assault  Attack all enemies for 300% Damage.
Clear Disrupted from all allies.

Copy and clear all positive effects from all enemies to self.
Spread all positive effects, excluding Stealth, Taunt, and Regeneration, from self to all SINISTER SIX allies.

Gain Taunt for 1 turn and Immunity for 2 turns. Level Required: 70  t4 confidence 52.8%",Lizard
basic,Ability 1,The Asgardian god of Mischief who misleads and confuses his foes.,Loki
special,Ability 2,"Eldritch Bolt  Attack primary target for 260% Piercing.
If Sylvie is an ally, apply Defense Down + 2 Bleed.

50% chance to gain Evade.

In RAIDS:
 > Always gain Evade.
 > When this character performs a Counterattack or Assist and has Regeneration, gain +100% Damage on that Counterattack or Assist. Level Required: 65  t4 confidence 47.9%",Loki
ultimate,Ability 3,"Mind Control  Apply Defense Down for 2 turns to primary target.
On WAR DEFENSE, with 4 or more ASGARDIAN allies, apply Taunt to primary target.

Mind Control 2 enemies to attack the primary target. The controlled enemies gain +50% Damage for this attack. If Sylvie is an ally, the controlled enemies gain an additional +100% Damage for this attack. Level Required: 68  t4 confidence 51.0%",Loki
passive,Ability 4,"Mirror Image  Gain 2 Evade + Stealth for 2 turns.
Apply Stealth for 2 turns to all allies except Mirror Images.

Summon 2-3 Mirror Images. Mirror Images gain Evade.

In RAIDS:
 > BIFROST allies gain Speed Up and Offense Up for 2 turns.
 > Mirror Images gain Taunt. Level Required: 70  t4 confidence 46.0%",Loki
basic,Ability 1,A teenage version of Loki that applies regeneration to his allied Loki variants and hides a wicked bite up his sleeve.,LokiTeen
special,Ability 2,"Bite 'n Blade  Attack primary target for 320% damage + clear 1 positive effect.

Gain Regeneration + clear 1 negative effect from self.
Apply Regeneration + clear 1 negative effect from the most injured non-summoned ally.

In RAIDS: 
 > Apply Regeneration to all BIFROST allies.
 > When this character performs a Counterattack or Assist and has Regeneration, gain +100% Damage on that Counterattack or Assist. Level Required: 65  t4 confidence 42.1%",LokiTeen
ultimate,Ability 3,"What Goes Up...  Attack primary target for 100% damage + 100% Drain. In RAIDS, attack primary target for 420% damage instead.

Attack primary and adjacent targets for 420% damage.

Flip Heal Block on self and all allies.
Apply Regeneration to self and all allies.

In RAIDS:
 > Flip 2 additional negative effects to positive effects on self and all BIFROST allies.
 > Apply 2 additional Regeneration to self and all BIFROST allies.

This attack cannot be dodged or blocked. Level Required: 68  t4 confidence 37.2%",LokiTeen
passive,Ability 4,"Insti-gator  Attack primary target for 550% damage + 100% Drain.

Redistribute total health evenly between self and all BIFROST allies.
Clear all negative effects from self and all BIFROST allies.

Apply 2 Regeneration to self and all allies.

In RAIDS: 
 > If the primary target is a COSMIC HERO, this attack deals an additional +100% damage.
 > Apply Safeguard and Immunity to self and all BIFROST allies. Level Required: 70  t4 confidence 36.9%",LokiTeen
basic,Ability 1,"Longshot is a genetically engineered hero from the Mojoverse, where he uses his luck powers to deal critical hits and become a hit with critics.",Longshot
special,Ability 2,"Blade Toss  Attack primary target for 240% damage + Bonus Attack for 160% damage.

If this character has any non-summoned X-Factor allies, Bonus Attack for 210% damage.

This attack cannot be dodged. Level Required: 65  t4 confidence 21.9%",Longshot
ultimate,Ability 3,Fan of Knives  Attack all enemies for 260% damage + apply Bleed. Level Required: 68  t4 confidence 19.6%,Longshot
passive,Ability 4,"Knife Assault  Attack primary target for 550% damage.
This attack has 50% Extra Crit Chance.

Damage is increased by an amount equal to this character's total Crit Chance.

This attack cannot be blocked. Level Required: 70  t4 confidence 18.9%",Longshot
basic,Ability 1,An extremely tough taunting protector with high damage and health.,LukeCage
special,Ability 2,"Beat Up  Apply Assist Now to a random HERO ally. If that ally is a DEFENDER or a HEROES FOR HIRE they also gain Offense Up.

Attack primary target for 330% damage. Level Required: 65  t4 confidence 39.8%",LukeCage
ultimate,Ability 3,"Bring it On!  Gain Taunt for 2 turns + 2 Regeneration. Clear all negative effects from self. 
Apply Regeneration to all DEFENDER and HEROES FOR HIRE allies. Level Required: 68  t4 confidence 33.3%",LukeCage
passive,Ability 4,"Unbreakable  Apply Defense Up for 2 turns to self, all DEFENDER, and HEROES FOR HIRE allies.
Apply 2 Deflect and 2 Deathproof to self and all HEROES FOR HIRE allies.
Apply Defense Up to all additional allies.

Generate 1-3 Ability Energy for random allies. Level Required: 70  t4 confidence 37.5%",LukeCage
basic,Ability 1,The noble leader of the Jabari tribe who protects his own and relentlessly assaults his enemies.,MBaku
special,Ability 2,"Cudgel Slam  Attack primary target for 300% damage. On target Dodge, Bonus Attack for 300% damage. Level Required: 65  t4 confidence 16.9%",MBaku
ultimate,Ability 3,"Call of the Mountain  Gain Taunt for 2 turns.
Apply 2 Counter to self and all WAKANDAN allies.
Gain +2 Charged, up to a maximum of 5.

Apply Defense Up for 2 turns to self and all WAKANDAN allies. Level Required: 68  t4 confidence 17.6%",MBaku
passive,Ability 4,"Jabari Avalanche  Attack primary target and all adjacent targets for 320% damage + apply +1 Vulnerable, up to a maximum of 3.
Chain to target adjacent to primary and attack that target and all adjacent targets for 320% damage + apply +1 Vulnerable, up to a maximum of 3, if any of the previous targets resisted the previous attack.

Apply +2 Charged, up to a maximum of 5, to self and all WAKANDAN allies.

Counterattack does not break this Chain. Level Required: 70  t4 confidence 12.4%",MBaku
basic,Ability 1,"A lovelorn clone of Jean Grey, Madelyne Pryor uses her superior psychic powers and sorcery to rain fury down on her opponents.",MadelynePryor
special,Ability 2,"Assist/Counter Info Attack primary target for 205% damage + 17% Piercing + flip 1 positive effect.On WAR DEFENSE, flip 3 additional positive effects on the primary target.",MadelynePryor
ultimate,Ability 3,Psionic Smite  Attack primary target for 300% damage + flip 3 random positive effects to negative effects. Level Required: 65  t4 confidence 44.3%,MadelynePryor
passive,Ability 4,"Hellfire Vortex  Attack all enemies for 300% damage + apply Defense Down for 2 turns.

If Cyclops, Phoenix, or Dark Phoenix is an enemy, Bonus Attack all enemies for 300% damage.

Apply Offense Down for 2 turns to all BRAWLER and all BLASTER enemies.
Apply Disrupted for 2 turns to all PROTECTOR and all CONTROLLER enemies.
Apply Ability Block for 1 turn to all PROTECTOR enemies and 2 turns to all SUPPORT enemies.

This attack is Unavoidable and cannot be Counterattacked. Level Required: 68  t4 confidence 33.9%",MadelynePryor
basic,Ability 1,"Ruthless, unstoppable, and from an alternate universe far in the future, Maestro is a version of Hulk that uses his awesome intelligence to slay his adversaries and collect trophies from the fallen.",Maestro
special,Ability 2,"©2026 MARVEL. MARVEL Strike Force Software © 2026 SCOPELY. All rights reserved. Use of this website (including any and all parts and components) constitutes your acceptance of these Terms of Use and Privacy Policy. The materials on this website are not to be sold, traded or given away. Any copying, manipulation, publishing, or other transfer of these materials, except as specifically provided in the terms and conditions of use, is strictly prohibited.",Maestro
ultimate,Ability 3,"We and our advertising partners use cookies and similar technologies to show you advertising personalized to your interests (known as “personalized advertising”) and measure its effectiveness. These technologies collect information such as advertising identifiers, IP addresses, and other unique identifiers from your devices. Scopely does not sell this data in exchange for money, but we want you to know that this sharing of information with partners for personalized advertising purposes nonetheless may be considered either a “sale” or “share” of personal information under the California Consumer Privacy Act (CCPA). The use of personalized advertising may also qualify as “targeted advertising” under other U.S. state laws. If you are located in California or one of these other states, you can opt out of personalized advertising as described below.",Maestro
passive,Ability 4,"If you would like to opt out of either the “sale”/“sharing” of your information or “targeted advertising” related to personalized ads that appear in connection with this website, move the toggle above to the ""on” position.",Maestro
basic,Ability 1,"Magik uses dark sorcery to charge up her allies and her mutant teleportation power to get the drop on enemies. As the demonic Darkchylde, she can inflict heavy damage.",Magik
special,Ability 2,Soulsword Strike  Attack primary and adjacent targets for 230% Piercing + clear 2 random positive effects. Level Required: 65  t4 confidence 30.1%,Magik
ultimate,Ability 3,"Demonic Might  Heal self and all NEW MUTANT allies for 30% of this character's Max Health.

Attack all enemies for 300% Piercing + flip Immunity and Regeneration.

Reduce the Speed Bar of primary target by 30%.

Apply +10 Charged, up to a maximum of 20, to self and all CHARGEABLE UNCANNY X-MEN allies.

This attack cannot be counterattacked. Level Required: 68  t4 confidence 35.8%",Magik
passive,Ability 4,"Limbo Strike  Heal the most injured NEW MUTANT ally for 10% of this character's Max Health + clear 3 random negative effects.

Barrier self and all X-MEN allies for 20% of this character's Max Health.
Clear Disrupted and Ability Block from self and all X-MEN allies.

Attack primary target for 450% damage + Drain 25%.

This attack is Unavoidable and cannot be blocked. Level Required: 70  t4 confidence 34.3%",Magik
basic,Ability 1,A master of magnetic fields who can shift enemy positions and empower his Brotherhood allies.,Magneto
special,Ability 2,"Assist/Counter Info Attack primary target for 205% damage + 17% Piercing.
In RAIDS. if this character has 3 or more DEATHSEED allies, prolong all negative effects by 1 on each target.",Magneto
ultimate,Ability 3,"Magnetic Force  Attack primary target for 220% damage + 20% Piercing. Chain to 2 additional targets for 220% damage + 20% Piercing.

In RAIDS. if this character has 3 or more DEATH SEED allies, prolong all negative effects by 1 on each target. Level Required: 65  t4 confidence 59.9%",Magneto
passive,Ability 4,"Polarized Beam  Attack primary target for 250% damage + 20% Piercing + clear all positive effects + apply Disrupted for 2 turns and Slow for 2 turns.
In RAIDS, apply Ability Block for 2 turns to the primary target.

This attack is Unavoidable and cannot be Blocked. Level Required: 68  t4 confidence 57.2%",Magneto
basic,Ability 1,"Seeking a new host, a variant reality Phoenix Force possesses Magneto! Now Master of Magnetism AND Fire he blasts through enemies leaving Silence and Trauma in his wake.",MagnetoPhoenixForce
special,Ability 2,"Thermo-Magnetic Force  Attack primary target for 200% Piercing + deal 15% of this character's Max Health as damage + apply Disrupted for 2 turns.

In CRUCIBLE, call the PHOENIX FORCE ally with the highest Damage to attack the primary target. That ally gains +50% Damage for this attack.

When forced to attack an ally this character does less damage and does not apply negative effects to MUTANT allies. Level Required: 75  t4 confidence 41.4%",MagnetoPhoenixForce
ultimate,Ability 3,"Magnetized Sentinel  Clear all Barrier on all Enemies.
Attack all enemies for 300% damage + deal 15% of this character's Max Health as damage + apply Blind for 2 turns.

If Phoenix or Dark Phoenix is an ally, clear all positive effects on each target.
If Omega Red (Phoenix Force) is an ally, apply 2 Bleed for 2 turns and +1 Trauma, up to a maximum of 3, to each target.

This attack is Unavoidable and cannot be Blocked or Counterattacked.

In CRUCIBLE, if this character has 2 or more PHOENIX FORCE allies, this attack gains +100% Piercing. Level Required: 78  t4 confidence 44.7%",MagnetoPhoenixForce
passive,Ability 4,"Phoenix Polarity  Flip all positive effects on primary and adjacent targets.
Attack primary and adjacent targets for 350% Piercing + deal 15% of this character's Max Health as damage + apply 2 Bleed for 1 turn and Trauma for 2 turns.

In CRUCIBLE, if this character has 2 PHOENIX FORCE allies:
 > Apply Counter for 2 turns to self and all PHOENIX FORCE allies + reduce the Ultimate Ability Energy of all enemies by 2.
 > Reduce the Speed Bar of primary and adjacent targets by 25% and apply Silence for 2 turns.
 > This attack gains +3,000% Extra Focus and is Unavoidable and cannot be Blocked. Level Required: 80  t4 confidence 47.1%",MagnetoPhoenixForce
basic,Ability 1,"An ancient and powerful force of nature, whatever knows fear burns at the touch of... The Man-Thing!",ManThing
special,Ability 2,"Swamp Slam  Attack primary target for 280% damage + apply +1 Slow, up to a maximum of 3.
Apply Bleed to any non-Daredevil target.

Gain 2 Regeneration.

Apply Defense Up to the most injured non-summoned NIGHTSTALKER ally without Defense Up. Level Required: 65  t4 confidence 37.5%",ManThing
ultimate,Ability 3,"Entangling Slam  Attack primary and adjacent targets for 370% damage.
If any target has Slow, apply Stun to that target.
Apply Slow for 2 turns to primary and adjacent targets.

Clear all negative effects from self and all NIGHTSTALKER allies.
Apply Defense Up to self and all NIGHTSTALKER allies. Level Required: 68  t4 confidence 40.0%",ManThing
passive,Ability 4,"Bog Bash  Attack all enemies for 400% damage + prolong the duration of all negative effects, excluding Ability Block, Stun, and Trauma, by 1.
Apply Slow for 2 turns to all enemies.

In RAIDS, clear Disrupted from self + gain Safeguard for 2 turns.

Gain Taunt for 2 turns.
Apply Defense Up for 2 turns to self and all NIGHTSTALKER allies.
Clear 2 negative effects from self and all NIGHTSTALKER allies Level Required: 70  t4 confidence 46.6%",ManThing
basic,Ability 1,A cosmic healer who can stun foes and redistribute health to an injured ally. Her abilities are stronger in Raids.,Mantis
special,Ability 2,"Sleeeeep  Attack primary target for 240% damage. If Charged, then in addition, Stun the target. Then lose Charged.

If Drax is an ally, apply Deflect to Drax. Level Required: 65  t4 confidence 18.2%",Mantis
ultimate,Ability 3,"Empathy  Heal self and adjacent allies for 3,000 Health  + 15% of this character's Max Health. Heal all additional allies for  1,750 Health + 10% of this character's Max Health. Apply Regeneration to self and adjacent allies.

In RAIDS, apply additional Regeneration to all allies. Level Required: 68  t4 confidence 13.4%",Mantis
passive,Ability 4,"Soothe  Redistribute Health between self and lowest health ally evenly + heal self and that ally for 2,000.

In RAIDS, Transfer 2 negative effects from both self and that ally to primary target. Clear 2 positive effects from primary target.

This ability cannot target summoned allies. Level Required: 70  t4 confidence 9.7%",Mantis
basic,Ability 1,Maria Hill is the Secret Avengers' Support who backs up her allies by calling in S.H.I.E.L.D. care packages and special agents to take out high priority targets.,MariaHill
special,Ability 2,"Close Range Support  Attack primary target for 340% damage.

Apply Deflect to the most injured non-summoned ally. If that ally is a SECRET AVENGER, they also gain Regeneration. Level Required: 65  t4 confidence 39.1%",MariaHill
ultimate,Ability 3,"Overwhelming Firepower  Summon 3 S.H.I.E.L.D. Troopers.
Apply Offense Up, Defense Up, and Deathproof to summoned S.H.I.E.L.D. Troopers.
Attack primary target for 400% damage.
Gain assist from all S.H.I.E.L.D. Trooper allies.
Apply Defense Down to primary target.

If Sharon Carter is an ally, gain +500% Extra Focus for this attack.

This attack is unavoidable and cannot be Blocked. Level Required: 68  t4 confidence 47.1%",MariaHill
passive,Ability 4,"S.H.I.E.L.D. Care Package  Clear all negative effects from self and all AVENGER and SKILL allies.
Apply +3 Deflect, up to a maximum of 5, and Immunity to self and all SECRET AVENGER allies.
Heal self and all SKILL allies by 35% of this character's Max Health + Heal all non-SKILL allies by 20% of this character's Max Health.
Attack all enemies for 350% damage. Level Required: 70  t4 confidence 45.8%",MariaHill
basic,Ability 1,"Queen of the Inhumans, Medusa uses her impossibly strong prehensile hair to protect any granted gifts by the Terrigen Mists.",Medusa
special,Ability 2,"Split Ends  Attack primary target for 160% Piercing.

Repeat this attack once.

When forced to attack an ally, this character deals less damage to ABSOLUTE A-FORCE characters. Level Required: 65  t4 confidence 25.7%",Medusa
